[2025-10-31 22:25:59.176] [info]  DiscordSplash.signalReady
[2025-10-31 22:25:59.192] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-10-31 22:25:59.192] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-10-31 22:25:59.193] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-10-31 22:25:59.193] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-10-31 22:25:59.194] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-10-31 22:25:59.194] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-10-31 22:25:59.195] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-10-31 22:25:59.195] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-10-31 22:25:59.196] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-10-31 22:25:59.196] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-10-31 22:25:59.198] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-10-31 22:25:59.198] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-10-31 22:25:59.198] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-10-31 22:25:59.198] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-10-31 22:25:59.447] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-10-31 22:25:59.447] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-10-31 22:25:59.825] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-10-31 22:25:59.826] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-10-31 22:25:59.828] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-10-31 22:25:59.828] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-10-31 22:25:59.834] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-10-31 22:25:59.835] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-10-31 22:25:59.837] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-10-31 22:25:59.837] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-10-31 22:25:59.841] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-10-31 22:25:59.841] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-10-31 22:25:59.843] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-10-31 22:25:59.843] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-10-31 22:25:59.847] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2025-10-31 22:25:59.847] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2025-10-31 22:25:59.850] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2025-10-31 22:25:59.850] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2025-10-31 22:25:59.854] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2025-10-31 22:25:59.854] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2025-10-31 22:25:59.854] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2025-10-31 22:25:59.854] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2025-10-31 22:25:59.858] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2025-10-31 22:25:59.858] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2025-10-31 22:25:59.859] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":15}
[2025-10-31 22:25:59.859] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":15}
[2025-10-31 22:25:59.863] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":18}
[2025-10-31 22:25:59.863] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":18}
[2025-10-31 22:25:59.868] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":21}
[2025-10-31 22:25:59.868] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":21}
[2025-10-31 22:25:59.868] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":23}
[2025-10-31 22:25:59.868] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":23}
